rotation,crop_scale,color_jitter,erasing_prob,fold,epoch,train_loss,val_loss,val_acc
0,1.0,0.0,0.0,1,1,0.2569229331798179,0.4890972543102064,0.8298162014976175
0,1.0,0.0,0.0,1,2,0.0150814512683033,0.6253685245547373,0.8459269344225097
0,1.0,0.0,0.0,1,3,0.0086542654512911,0.4243007126472802,0.8747447243022465
0,1.0,0.0,0.0,1,4,0.0143412623187253,0.4677669798820943,0.8529611980939414
0,1.0,0.0,0.0,1,5,0.0058751454199865,0.5553248816464414,0.8486498751985477
0,1.0,0.0,0.0,1,6,0.0060833767636571,0.4779194545164372,0.8854095756750624
0,1.0,0.0,0.0,1,7,0.0156575127349381,0.5123795032788653,0.8720217835262083
0,1.0,0.0,0.0,1,8,0.0065182396665161,0.6100085412619416,0.8479691400045383
0,1.0,0.0,0.0,1,9,0.0058818196928507,0.6143060673729341,0.8588609031086907
0,1.0,0.0,0.0,1,10,0.0064893127268891,0.5090144409833619,0.8717948717948718
0,1.0,0.0,0.0,2,1,0.2612989709578021,0.3293139591725678,0.889608938547486
0,1.0,0.0,0.0,2,2,0.0147310954195255,0.3463074791875756,0.9001117318435754
0,1.0,0.0,0.0,2,3,0.0143708274353919,0.2687014107235093,0.9090502793296088
0,1.0,0.0,0.0,2,4,0.0062719454351247,0.3079572055758499,0.9016759776536312
0,1.0,0.0,0.0,2,5,0.0103307875510344,0.2293166951481747,0.9302793296089386
0,1.0,0.0,0.0,2,6,0.0068405198673395,0.287701592273378,0.9211173184357542
0,1.0,0.0,0.0,2,7,0.0078519920442611,0.3540684703423121,0.9079329608938548
0,1.0,0.0,0.0,2,8,0.0124935299271327,0.3379767456621898,0.9110614525139664
0,1.0,0.0,0.0,2,9,0.0034546204688716,0.2890861653127495,0.9208938547486032
0,1.0,0.0,0.0,2,10,0.0041845455301661,0.4691816622198804,0.8820111731843575
0,1.0,0.0,0.0,3,1,0.2557088127411316,0.3198119964980709,0.903987167736022
0,1.0,0.0,0.0,3,2,0.0111618216463043,0.5664306080449677,0.8253895508707608
0,1.0,0.0,0.0,3,3,0.0105650905955475,0.456325135176769,0.8576993583868011
0,1.0,0.0,0.0,3,4,0.0151093312171994,0.8966786947777592,0.7664986251145738
0,1.0,0.0,0.0,3,5,0.0083197766325796,0.4950075595523212,0.8829055912007333
0,1.0,0.0,0.0,3,6,0.0088210527305924,0.6444521304435236,0.8547204399633364
0,1.0,0.0,0.0,3,7,0.0173301960506135,0.5920516180166522,0.8744271310724107
0,1.0,0.0,0.0,3,8,0.0028094108168119,0.7041847330949962,0.8492208982584785
0,1.0,0.0,0.0,3,9,0.0023454503826986,0.630477466416865,0.8531164069660861
0,1.0,0.0,0.0,3,10,0.0117273334502722,1.188645547894608,0.7781851512373968
0,1.0,0.0,0.0,4,1,0.2661884581325386,0.4618505094834717,0.84375
0,1.0,0.0,0.0,4,2,0.0114555589179876,0.7189936052189816,0.8067602040816326
0,1.0,0.0,0.0,4,3,0.0116264540432746,0.4382363219244332,0.8662840136054422
0,1.0,0.0,0.0,4,4,0.008279281494872,0.5398426249069704,0.8467261904761905
0,1.0,0.0,0.0,4,5,0.0146635464537398,0.3896328661299919,0.8807397959183674
0,1.0,0.0,0.0,4,6,0.0080594330790881,0.5206639731343836,0.8584183673469388
0,1.0,0.0,0.0,4,7,0.006561907730512,0.4261343250571067,0.8837159863945578
0,1.0,0.0,0.0,4,8,0.0035892554132242,0.5160677776012508,0.8469387755102041
0,1.0,0.0,0.0,4,9,0.0007941238815884,0.4117317967174508,0.8684098639455783
0,1.0,0.0,0.0,4,10,0.0002658075972567,0.6702061260027403,0.8292942176870748
0,1.0,0.0,0.0,5,1,0.2469321090891998,0.4285173569470338,0.8549396513187304
0,1.0,0.0,0.0,5,2,0.0123771675326666,0.4754330516079497,0.8748323647742512
0,1.0,0.0,0.0,5,3,0.0098094771738607,0.4321190091271266,0.8777380420205633
0,1.0,0.0,0.0,5,4,0.0140882581631162,0.4357356791691835,0.8855610192221726
0,1.0,0.0,0.0,5,5,0.007349724429773,0.5303973729922439,0.8681269557443004
0,1.0,0.0,0.0,5,6,0.0055112338645551,0.4214149385642167,0.8795261510952168
0,1.0,0.0,0.0,5,7,0.0034068898393053,0.5918552720980086,0.8077782744747429
0,1.0,0.0,0.0,5,8,0.015974877830932,0.4404125375357981,0.8853375055878409
0,1.0,0.0,0.0,5,9,0.0025130774166038,0.512688087027718,0.8522574877067501
0,1.0,0.0,0.0,5,10,0.0024826827591617,0.4528244242330819,0.8759499329459097
10,1.0,0.0,0.0,1,1,0.2892098567427518,0.4632878680987145,0.8602223734967098
10,1.0,0.0,0.0,1,2,0.0224327280374738,0.3860929555021953,0.8890401633764465
10,1.0,0.0,0.0,1,3,0.0143687803714453,0.4005734739385871,0.887905604719764
10,1.0,0.0,0.0,1,4,0.0198328046234844,0.6832956027548484,0.8620376673474018
10,1.0,0.0,0.0,1,5,0.0100725042947375,0.4444682495091308,0.876786929884275
10,1.0,0.0,0.0,1,6,0.006280793655446,0.5019700896244044,0.8742909008395734
10,1.0,0.0,0.0,1,7,0.0127425596342882,0.3886529485061964,0.8856364874063989
10,1.0,0.0,0.0,1,8,0.0102804730554146,0.4733312534374811,0.8813251645110052
10,1.0,0.0,0.0,1,9,0.0092557280267745,0.3622439575193706,0.8863172226004085
10,1.0,0.0,0.0,1,10,0.0077759858715682,0.598325804043793,0.8427501701837985
10,1.0,0.0,0.0,2,1,0.3174037117648223,0.3945281930340651,0.8726256983240224
10,1.0,0.0,0.0,2,2,0.0298804394020066,0.2686558738094884,0.9124022346368716
10,1.0,0.0,0.0,2,3,0.0157320475120891,0.294995479660254,0.9367597765363128
10,1.0,0.0,0.0,2,4,0.0130372030235495,0.2644832404439016,0.924245810055866
10,1.0,0.0,0.0,2,5,0.0157341300398831,0.3688583233204976,0.8858100558659218
10,1.0,0.0,0.0,2,6,0.0093639143047916,0.4089225474614143,0.8922905027932961
10,1.0,0.0,0.0,2,7,0.0146396510159344,0.3718254141651182,0.9030167597765364
10,1.0,0.0,0.0,2,8,0.0054357069217585,0.7085460912798955,0.8536312849162011
10,1.0,0.0,0.0,2,9,0.0121458329615153,0.2875896178588126,0.910391061452514
10,1.0,0.0,0.0,2,10,0.0048812847265302,0.3658887573819929,0.8911731843575419
10,1.0,0.0,0.0,3,1,0.3020089510956146,0.4106102026690352,0.8730522456461961
10,1.0,0.0,0.0,3,2,0.0309595741566728,0.4873681064297681,0.8767186067827681
10,1.0,0.0,0.0,3,3,0.0152618395631301,0.4743960700226425,0.8556370302474794
10,1.0,0.0,0.0,3,4,0.0126672690471784,0.5049925679137627,0.8680109990834097
10,1.0,0.0,0.0,3,5,0.0103759806063273,0.52621364414625,0.8776351970669111
10,1.0,0.0,0.0,3,6,0.0111431287415009,0.3966324354137097,0.903070577451879
10,1.0,0.0,0.0,3,7,0.0043769607408867,0.6781501450004555,0.8487626031164069
10,1.0,0.0,0.0,3,8,0.0186194305361794,0.4871470392609641,0.9005499541704858
10,1.0,0.0,0.0,3,9,0.0050148659094476,0.4793637746284099,0.8739688359303391
10,1.0,0.0,0.0,3,10,0.0093258940524837,0.6398020914815544,0.8524289642529789
10,1.0,0.0,0.0,4,1,0.3036476099224546,0.3212746024158701,0.8894557823129252
10,1.0,0.0,0.0,4,2,0.0250314830877012,0.4340531116711422,0.8522534013605442
10,1.0,0.0,0.0,4,3,0.0160959505316807,0.4045779755860519,0.8713860544217688
10,1.0,0.0,0.0,4,4,0.0166635615944559,0.52800235510036,0.8539540816326531
10,1.0,0.0,0.0,4,5,0.0133783857750708,0.4859607489801347,0.8503401360544217
10,1.0,0.0,0.0,4,6,0.0051685060440267,0.4280380776297837,0.8735119047619048
10,1.0,0.0,0.0,4,7,0.0142940952888538,0.3590237118166804,0.8835034013605442
10,1.0,0.0,0.0,4,8,0.0133034119632938,0.4343007154438061,0.8628826530612245
10,1.0,0.0,0.0,4,9,0.0096843358766656,0.517419915326918,0.8571428571428571
10,1.0,0.0,0.0,4,10,0.0061932239039752,0.357446881025541,0.8937074829931972
10,1.0,0.0,0.0,5,1,0.2935425884856694,0.4156373165218741,0.8611980330800179
10,1.0,0.0,0.0,5,2,0.0233427104945385,0.4338875629420916,0.8638801966919982
10,1.0,0.0,0.0,5,3,0.016567067359146,0.4610216124189736,0.8551631649530621
10,1.0,0.0,0.0,5,4,0.0143534867475354,0.522349803474554,0.8363880196691998
10,1.0,0.0,0.0,5,5,0.0112485995742136,0.4598754242157224,0.8831023692445239
10,1.0,0.0,0.0,5,6,0.0072989020316179,0.5843488342014364,0.8451050514081359
10,1.0,0.0,0.0,5,7,0.0110897869868126,0.3792487576505455,0.9000894054537327
10,1.0,0.0,0.0,5,8,0.0094836414275265,0.5163105333710749,0.8810907465355386
10,1.0,0.0,0.0,5,9,0.0098237171330655,0.5539692019687807,0.8535985695127403
10,1.0,0.0,0.0,5,10,0.0096394963064723,0.6760724943988005,0.8448815377738041
20,1.0,0.0,0.0,1,1,0.3249164247788063,0.4382315255305936,0.8720217835262083
20,1.0,0.0,0.0,1,2,0.0318954110506581,0.3478211672832091,0.8967551622418879
20,1.0,0.0,0.0,1,3,0.0269610856451859,0.3810693927513319,0.8845019287497163
20,1.0,0.0,0.0,1,4,0.0194140392565849,0.4826169797914562,0.8708872248695257
20,1.0,0.0,0.0,1,5,0.0155306709190597,0.3478573634750934,0.876333106421602
20,1.0,0.0,0.0,1,6,0.0101492059564234,0.4522878911175348,0.8713410483321987
20,1.0,0.0,0.0,1,7,0.0065006519444084,0.573607249430697,0.8747447243022465
20,1.0,0.0,0.0,1,8,0.0173226882291208,0.4142710861418902,0.8883594281824371
20,1.0,0.0,0.0,1,9,0.0120349140445864,0.6455039378350277,0.877694576809621
20,1.0,0.0,0.0,1,10,0.0104090463029283,0.5928372117982674,0.8629453142727479
20,1.0,0.0,0.0,2,1,0.3372890579638371,0.2692770981604452,0.9128491620111732
20,1.0,0.0,0.0,2,2,0.035167954801306,0.3525316929370496,0.8853631284916201
20,1.0,0.0,0.0,2,3,0.0224497419482023,0.3264062733970018,0.897877094972067
20,1.0,0.0,0.0,2,4,0.0226244663490472,0.2786637109679048,0.9182122905027932
20,1.0,0.0,0.0,2,5,0.0135131429014367,0.2260889863088998,0.9345251396648044
20,1.0,0.0,0.0,2,6,0.0155514349081807,0.412020017514476,0.8835754189944134
20,1.0,0.0,0.0,2,7,0.017355671137944,0.2248251954963922,0.9423463687150838
20,1.0,0.0,0.0,2,8,0.0103031028294378,0.2861449999631965,0.9182122905027932
20,1.0,0.0,0.0,2,9,0.0091751103863401,0.3471391065442428,0.9135195530726256
20,1.0,0.0,0.0,2,10,0.0123468275993386,0.3309392693831894,0.9045810055865922
20,1.0,0.0,0.0,3,1,0.3480570239661589,0.3700910560284356,0.884967919340055
20,1.0,0.0,0.0,3,2,0.0371608309858248,0.6327160640330951,0.8318056828597616
20,1.0,0.0,0.0,3,3,0.024955238130847,0.5255472349893525,0.8606782768102658
20,1.0,0.0,0.0,3,4,0.0220900873964031,0.5757385198150692,0.864115490375802
20,1.0,0.0,0.0,3,5,0.0133688219228619,0.511640748934226,0.9014665444546288
20,1.0,0.0,0.0,3,6,0.0141067917012389,0.4901696404617036,0.8799266727772685
20,1.0,0.0,0.0,3,7,0.0144418074762431,0.7132104649903553,0.8597616865261228
20,1.0,0.0,0.0,3,8,0.0108647968139059,0.6819460085733543,0.844179651695692
20,1.0,0.0,0.0,3,9,0.0201465827191933,0.6047321190461536,0.8528872593950504
20,1.0,0.0,0.0,3,10,0.012703979417776,0.6785339093922811,0.8966544454628781
20,1.0,0.0,0.0,4,1,0.3374799637578041,0.3728049353048598,0.8626700680272109
20,1.0,0.0,0.0,4,2,0.0390946143500204,0.2910764118747886,0.9011479591836736
20,1.0,0.0,0.0,4,3,0.0222168422872768,0.4078308635371858,0.8788265306122449
20,1.0,0.0,0.0,4,4,0.0180351139475122,0.3831085797934192,0.8732993197278912
20,1.0,0.0,0.0,4,5,0.0145440821288601,0.446095923712636,0.8605442176870748
20,1.0,0.0,0.0,4,6,0.0179581812161397,0.2998761220376726,0.9011479591836736
20,1.0,0.0,0.0,4,7,0.014338787228332,0.3726516339734327,0.8873299319727891
20,1.0,0.0,0.0,4,8,0.0135335904279483,0.441278883551643,0.8607568027210885
20,1.0,0.0,0.0,4,9,0.0144036658926557,0.4537101243785292,0.8743622448979592
20,1.0,0.0,0.0,4,10,0.0078278731875874,0.3475740332748424,0.9045493197278912
20,1.0,0.0,0.0,5,1,0.326859403484213,0.4083941380060779,0.8714796602592758
20,1.0,0.0,0.0,5,2,0.0326060268858805,0.439668928596586,0.8824318283415288
20,1.0,0.0,0.0,5,3,0.0271196805260307,0.3347464516733627,0.9074653553866786
20,1.0,0.0,0.0,5,4,0.0127784375372552,0.4054312841193412,0.8909253464461332
20,1.0,0.0,0.0,5,5,0.0204842781688509,0.5522134942763077,0.8424228877961556
20,1.0,0.0,0.0,5,6,0.0147711803068077,0.515129916799808,0.8571747876620474
20,1.0,0.0,0.0,5,7,0.011748746107287,0.4110111429038547,0.8920429146177917
20,1.0,0.0,0.0,5,8,0.0144044908417536,0.5881785645461779,0.8632096557890031
20,1.0,0.0,0.0,5,9,0.007373062763509,0.5254345858118314,0.884443451050514
20,1.0,0.0,0.0,5,10,0.0087923608136864,0.5660633315127902,0.8694680375502906
0,0.8,0.0,0.0,1,1,0.2925412185775881,0.4579654686474788,0.8613569321533924
0,0.8,0.0,0.0,1,2,0.0219913449254398,0.7277375765821787,0.818924438393465
0,0.8,0.0,0.0,1,3,0.0143567975401661,0.605031755749467,0.8472884048105287
0,0.8,0.0,0.0,1,4,0.015182801987097,0.5271463963541957,0.8597685500340367
0,0.8,0.0,0.0,1,5,0.01345019770329,0.5699940103946505,0.8633991377354209
0,0.8,0.0,0.0,1,6,0.0065877926530735,0.3365735000318702,0.9017472203312912
0,0.8,0.0,0.0,1,7,0.0109910135181804,0.6056895711830947,0.8631722260040844
0,0.8,0.0,0.0,1,8,0.0087232127227519,0.5422467457308613,0.8690719310188336
0,0.8,0.0,0.0,1,9,0.0092588971454801,0.4972404833816906,0.8745178125709099
0,0.8,0.0,0.0,1,10,0.0132655003377396,0.3671095025066962,0.8808713410483322
0,0.8,0.0,0.0,2,1,0.2899407345649147,0.2882686823489945,0.9072625698324024
0,0.8,0.0,0.0,2,2,0.0254057809381849,0.2514523214407723,0.92
0,0.8,0.0,0.0,2,3,0.0166252151784136,0.44052241199964,0.889608938547486
0,0.8,0.0,0.0,2,4,0.0150591100906948,0.3887784646462789,0.8920670391061453
0,0.8,0.0,0.0,2,5,0.0153111443772354,0.2790371827963652,0.92
0,0.8,0.0,0.0,2,6,0.0124801746777641,0.4759577407240191,0.8589944134078212
0,0.8,0.0,0.0,2,7,0.0069347624249945,0.3223717963559689,0.8969832402234637
0,0.8,0.0,0.0,2,8,0.0124374842643239,0.328722916548637,0.9126256983240224
0,0.8,0.0,0.0,2,9,0.0069835121476603,0.2880459625664373,0.9128491620111732
0,0.8,0.0,0.0,2,10,0.0135959269978927,0.2524437589919272,0.9305027932960894
0,0.8,0.0,0.0,3,1,0.2909879177470474,0.523224103617918,0.8760311640696609
0,0.8,0.0,0.0,3,2,0.0266039455862321,0.7056518290602036,0.8368469294225481
