rotation,crop_scale,color_jitter,erasing_prob,avg_train_loss,avg_val_loss,avg_val_acc
0,1.0,0.0,0.0,0.0589737292123504,0.3568954417975469,0.8938554337321583
10,1.0,0.0,0.0,0.0696346913402184,0.3447765986886795,0.9006357595749623
20,1.0,0.0,0.0,0.0927044802061624,0.3137120564712377,0.9065365529734756
0,0.8,0.0,0.0,0.0120808109145635,0.3366055979748092,0.9060949548026406
0,1.0,0.2,0.0,0.0083549321515858,0.3655263607181999,0.889437475102105
0,1.0,0.0,0.5,0.0245770000052688,0.3089894329450616,0.9015435609320828
20,0.8,0.2,0.5,0.06071471180756773,0.31441511032306396,0.8990735110918295
