rotation,crop_scale,color_jitter,erasing_prob,fold,epoch,train_loss,val_loss,val_acc
0,1.0,0.0,0.0,1,1,2.288110778818333,2.2196569171708163,0.1974132062627638
0,1.0,0.0,0.0,1,2,2.1808516657788473,2.097508633518154,0.2761515770365328
0,1.0,0.0,0.0,1,3,2.065928987626489,1.9587587456003133,0.3573859768550034
0,1.0,0.0,0.0,1,4,1.9783504921660715,1.882526149764904,0.3778080326752893
0,1.0,0.0,0.0,1,5,1.9202628210844472,1.825395480234498,0.4063989108236895
0,1.0,0.0,0.0,1,6,1.8867775688043291,1.8007890618737388,0.3961878829135466
0,1.0,0.0,0.0,1,7,1.8525034061856824,1.766290695618036,0.4079872929430451
0,1.0,0.0,0.0,1,8,1.833229573352452,1.7518233902902864,0.415929203539823
0,1.0,0.0,0.0,1,9,1.8138751431562703,1.736673173434831,0.4286362604946676
0,1.0,0.0,0.0,1,10,1.8039295728287223,1.7154862049731208,0.4327206716587247
0,1.0,0.0,0.0,1,11,1.789191842284274,1.7064985175075404,0.4356705241660993
0,1.0,0.0,0.0,1,12,1.7852696670559327,1.7211273449035844,0.4397549353301566
0,1.0,0.0,0.0,1,13,1.7631140475917049,1.6924269160419358,0.4313592012707057
0,1.0,0.0,0.0,1,14,1.77736913776096,1.7030578387792563,0.4336283185840708
0,1.0,0.0,0.0,1,15,1.7489827458519858,1.6907172083503026,0.4393011118674835
0,1.0,0.0,0.0,1,16,1.759256411367591,1.6942633082327292,0.4347628772407533
0,1.0,0.0,0.0,1,17,1.754458727169402,1.7110806670837022,0.4343090537780803
0,1.0,0.0,0.0,1,18,1.7443179957456578,1.7045119322966578,0.4433855230315407
0,1.0,0.0,0.0,1,19,1.7330664873996546,1.6656143513292798,0.4393011118674835
0,1.0,0.0,0.0,1,20,1.7251518564933002,1.6549202674149872,0.4442931699568868
0,1.0,0.0,0.0,2,1,2.290515903536872,2.220999789264615,0.2232402234636871
0,1.0,0.0,0.0,2,2,2.186976199243333,2.078317060470581,0.3537430167597765
0,1.0,0.0,0.0,2,3,2.0844384378507295,1.962645176589156,0.3881564245810056
0,1.0,0.0,0.0,2,4,2.0042755218115125,1.8738896160818344,0.4169832402234636
0,1.0,0.0,0.0,2,5,1.9455863924715615,1.8132922123797113,0.4397765363128492
0,1.0,0.0,0.0,2,6,1.903971050514724,1.7649107844336738,0.4583240223463687
0,1.0,0.0,0.0,2,7,1.864401155059016,1.7183485477596687,0.4721787709497206
0,1.0,0.0,0.0,2,8,1.8505364082817168,1.716735508774912,0.4636871508379888
0,1.0,0.0,0.0,2,9,1.822742920073568,1.6844806308053726,0.4699441340782123
0,1.0,0.0,0.0,2,10,1.8222675893995992,1.6885960680146457,0.4746368715083799
0,1.0,0.0,0.0,2,11,1.805243509640248,1.6690169930591263,0.4884916201117318
0,1.0,0.0,0.0,2,12,1.7927332583148006,1.658333453599301,0.4846927374301676
0,1.0,0.0,0.0,2,13,1.7859176843370512,1.6528844160474212,0.4891620111731843
0,1.0,0.0,0.0,2,14,1.766660973251188,1.6289111993565906,0.4871508379888268
0,1.0,0.0,0.0,2,15,1.7601659541156898,1.641809313310591,0.4710614525139664
